Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Agriculture, forestry, fishing, and hunting",366578,429493,451069,486245,497416,456433,432253,452386,451330,439022,447779
Mining,500091,601786,613485,663437,745990,495972,388411,498345,627175,594814,416323
Utilities,494486,484889,461485,491663,537642,513760,498637,511269,557498,558824,530634
Construction,1016651,1020485,1074580,1155700,1258772,1386108,1495152,1570262,1647954,1722906,1795933
Manufacturing,5018845,5594612,5772675,5940231,6026005,5703472,5543006,5733480,6117725,6055431,5501239
Transportation and Warehousing,859361,958820,1006492,1043890,1115574,1124286,1130818,1204932,1314077,1361348,1160113
Information,1268870,1324737,1382542,1437456,1512476,1577867,1683257,1744804,1857452,1938754,1977355
"Finance, insurance, real estate, rental, and leasing",4638204,4778607,5067934,5356604,5668890,5930156,6157941,6443621,6805639,7158534,7279749
Real estate and rental and leasing,2722776,2794038,2914202,3062220,3203489,3347944,3496680,3615397,3801105,4071792,4076558
Professional and business services,2712225,2868589,3009046,3095108,3298810,3458570,3619919,3852796,4102673,4360407,4385424
"Educational services, health care, and social assistance",2091325,2174291,2266100,2314042,2398894,2529116,2656299,2761763,2880515,3013204,2934839
"Arts, entertainment, recreation, accommodation, and food services",979227,1030042,1093442,1139413,1212641,1302063,1363482,1439414,1523621,1593009,1188873
"Other services, except government",534955,548882,576265,584488,620820,642441,671187,695741,726879,755798,710893
Government,3336019,3363944,3389220,3427017,3492396,3566870,3649752,3744833,3935823,4105635,4168869
Wholesale and Retail Trade,2658856,2866717,3058486,3214816,3370087,3495955,3564949,3738446,3941171,4052015,4063954
